Time,Percentage
2022-03-26T23:23:33,100
2022-03-26T23:23:43,100
2022-03-26T23:23:53,100
2022-03-26T23:24:03,100
2022-03-26T23:24:13,100
2022-03-26T23:24:23,100
2022-03-26T23:24:33,100
2022-03-26T23:24:43,100
2022-03-26T23:24:53,100
2022-03-26T23:25:03,100
2022-03-26T23:25:13,100
2022-03-26T23:25:23,100
2022-03-26T23:25:33,100
2022-03-26T23:25:43,100
2022-03-26T23:25:53,100
2022-03-26T23:26:03,100
2022-03-26T23:26:13,100
2022-03-26T23:26:23,100
2022-03-26T23:26:33,100
2022-03-26T23:26:43,100
2022-03-26T23:26:53,100
2022-03-26T23:27:03,100
2022-03-26T23:27:13,100
2022-03-26T23:27:23,100
2022-03-26T23:27:34,100
2022-03-26T23:27:44,100
2022-03-26T23:27:54,100
2022-03-26T23:28:04,100
2022-03-26T23:28:14,100
2022-03-26T23:28:24,100
2022-03-26T23:28:34,100
2022-03-26T23:28:44,100
2022-03-26T23:28:54,100
2022-03-26T23:29:04,100
2022-03-26T23:29:14,100
2022-03-26T23:29:24,100
2022-03-26T23:29:34,100
2022-03-26T23:29:44,100
2022-03-26T23:29:54,100
2022-03-26T23:30:04,100
2022-03-26T23:30:14,100
2022-03-26T23:30:24,100
2022-03-26T23:30:34,100
2022-03-26T23:30:44,100
2022-03-26T23:30:54,100
2022-03-26T23:31:04,100
2022-03-26T23:31:14,100
2022-03-26T23:31:24,100
2022-03-26T23:31:34,100
2022-03-26T23:31:44,100
2022-03-26T23:31:54,100
2022-03-26T23:32:04,100
2022-03-26T23:32:14,100
2022-03-26T23:32:25,100
2022-03-26T23:32:35,100
2022-03-26T23:32:45,100
2022-03-26T23:32:55,100
2022-03-26T23:33:05,100
2022-03-26T23:33:15,100
2022-03-26T23:33:25,100
2022-03-26T23:33:35,100
2022-03-26T23:33:45,100
2022-03-26T23:33:55,100
2022-03-26T23:34:05,100
2022-03-26T23:34:15,100
2022-03-26T23:34:25,100
2022-03-26T23:34:35,100
2022-03-26T23:34:45,100
2022-03-26T23:34:55,100
2022-03-26T23:35:05,100
2022-03-26T23:35:15,100
2022-03-26T23:35:25,100
2022-03-26T23:35:35,100
2022-03-26T23:35:45,100
2022-03-26T23:35:55,100
2022-03-26T23:36:05,100
2022-03-26T23:36:15,100
2022-03-26T23:36:25,100
2022-03-26T23:36:35,100
2022-03-26T23:36:45,100
2022-03-26T23:36:56,100
2022-03-26T23:37:06,100
2022-03-26T23:37:16,100
2022-03-26T23:37:26,100
2022-03-26T23:37:36,100
2022-03-26T23:37:46,100
2022-03-26T23:37:56,100
2022-03-26T23:38:06,100
2022-03-26T23:38:16,100
2022-03-26T23:38:26,100
2022-03-26T23:38:36,100
2022-03-26T23:38:46,100
2022-03-26T23:38:56,100
2022-03-26T23:39:06,100
2022-03-26T23:39:16,100
2022-03-26T23:39:26,100
2022-03-26T23:39:36,100
2022-03-26T23:39:46,100
2022-03-26T23:39:56,100
2022-03-26T23:40:06,100
2022-03-26T23:40:16,100
2022-03-26T23:40:26,100
2022-03-26T23:40:36,100
2022-03-26T23:40:46,100
2022-03-26T23:40:56,100
2022-03-26T23:41:06,100
2022-03-26T23:41:16,100
2022-03-26T23:41:27,100
2022-03-26T23:41:37,100
2022-03-26T23:41:47,100
2022-03-26T23:41:57,100
2022-03-26T23:42:07,100
2022-03-26T23:42:17,100
2022-03-26T23:42:27,100
2022-03-26T23:42:37,100
2022-03-26T23:42:47,100
2022-03-26T23:42:57,100
2022-03-26T23:43:07,100
2022-03-26T23:43:17,100
2022-03-26T23:43:27,100
2022-03-26T23:43:37,100
2022-03-26T23:43:47,100
2022-03-26T23:43:57,100
2022-03-26T23:44:07,100
2022-03-26T23:44:17,100
2022-03-26T23:44:27,100
2022-03-26T23:44:37,100
2022-03-26T23:44:47,100
2022-03-26T23:44:57,100
2022-03-26T23:45:07,100
2022-03-26T23:45:17,100
2022-03-26T23:45:27,100
2022-03-26T23:45:37,100
2022-03-26T23:45:47,100
2022-03-26T23:45:58,100
2022-03-26T23:46:08,100
2022-03-26T23:46:18,100
2022-03-26T23:46:28,100
2022-03-26T23:46:38,100
2022-03-26T23:46:48,100
2022-03-26T23:46:58,100
2022-03-26T23:47:08,100
2022-03-26T23:47:18,100
2022-03-26T23:47:28,100
2022-03-26T23:47:38,100
2022-03-26T23:47:48,100
2022-03-26T23:47:58,100
2022-03-26T23:48:08,100
2022-03-26T23:48:18,100
2022-03-26T23:48:28,100
2022-03-26T23:48:38,100
2022-03-26T23:48:48,100
2022-03-26T23:48:58,100
2022-03-26T23:49:08,100
2022-03-26T23:49:18,100
2022-03-26T23:49:28,100
2022-03-26T23:49:38,100
2022-03-26T23:49:48,100
2022-03-26T23:49:58,100
2022-03-26T23:50:08,100
2022-03-26T23:50:18,100
2022-03-26T23:50:29,100
2022-03-26T23:50:39,100
2022-03-26T23:50:49,100
2022-03-26T23:50:59,100
2022-03-26T23:51:09,100
2022-03-26T23:51:19,100
2022-03-26T23:51:29,100
2022-03-26T23:51:39,100
2022-03-26T23:51:49,100
2022-03-26T23:51:59,100
2022-03-26T23:52:09,100
2022-03-26T23:52:19,100
2022-03-26T23:52:29,100
2022-03-26T23:52:39,100
2022-03-26T23:52:49,100
2022-03-26T23:52:59,100
2022-03-26T23:53:09,100
2022-03-26T23:53:19,100
2022-03-26T23:53:29,100
2022-03-26T23:53:39,100
2022-03-26T23:53:49,100
2022-03-26T23:53:59,100
2022-03-26T23:54:09,100
2022-03-26T23:54:19,100
2022-03-26T23:54:29,100
2022-03-26T23:54:39,100
2022-03-26T23:54:49,100
2022-03-26T23:55:00,100
2022-03-26T23:55:10,100
2022-03-26T23:55:20,100
2022-03-26T23:55:30,100
2022-03-26T23:55:40,100
2022-03-26T23:55:50,100
2022-03-26T23:56:00,100
2022-03-26T23:56:10,100
2022-03-26T23:56:20,100
2022-03-26T23:56:30,100
2022-03-26T23:56:40,100
2022-03-26T23:56:50,100
2022-03-26T23:57:00,100
2022-03-26T23:57:10,100
2022-03-26T23:57:20,100
2022-03-26T23:57:30,100
2022-03-26T23:57:40,100
2022-03-26T23:57:50,100
2022-03-26T23:58:00,100
2022-03-26T23:58:10,100
2022-03-26T23:58:20,100
2022-03-26T23:58:30,100
2022-03-26T23:58:40,100
2022-03-26T23:58:50,100
2022-03-26T23:59:00,100
2022-03-26T23:59:10,100
2022-03-26T23:59:20,100
2022-03-26T23:59:30,100
2022-03-26T23:59:41,100
2022-03-26T23:59:51,100
2022-03-27T00:00:01,100
2022-03-27T00:00:11,100
2022-03-27T00:00:21,100
2022-03-27T00:00:31,100
2022-03-27T00:00:41,100
2022-03-27T00:00:51,100
2022-03-27T00:01:01,100
2022-03-27T00:01:11,100
2022-03-27T00:01:21,100
2022-03-27T00:01:31,100
2022-03-27T00:01:41,100
2022-03-27T00:01:51,100
2022-03-27T00:02:01,100
2022-03-27T00:02:11,100
2022-03-27T00:02:21,100
2022-03-27T00:02:31,100
2022-03-27T00:02:41,100
2022-03-27T00:02:51,100
2022-03-27T00:03:01,100
2022-03-27T00:03:11,100
2022-03-27T00:03:21,100
2022-03-27T00:03:31,100
2022-03-27T00:03:41,100
2022-03-27T00:03:51,100
2022-03-27T00:04:01,100
2022-03-27T00:04:12,100
2022-03-27T00:04:22,100
2022-03-27T00:04:32,100
2022-03-27T00:04:42,100
2022-03-27T00:04:52,100
2022-03-27T00:05:02,100
2022-03-27T00:05:12,100
2022-03-27T00:05:22,100
2022-03-27T00:05:32,100
2022-03-27T00:05:42,100
2022-03-27T00:05:52,100
2022-03-27T00:06:02,100
2022-03-27T00:06:12,100
2022-03-27T00:06:22,100
2022-03-27T00:06:32,100
2022-03-27T00:06:42,100
2022-03-27T00:06:52,100
2022-03-27T00:07:02,100
2022-03-27T00:07:12,100
2022-03-27T00:07:22,100
2022-03-27T00:07:32,100
2022-03-27T00:07:42,100
2022-03-27T00:07:52,100
2022-03-27T00:08:02,100
2022-03-27T00:08:12,100
2022-03-27T00:08:22,100
2022-03-27T00:08:32,100
2022-03-27T00:08:42,100
2022-03-27T00:08:53,100
2022-03-27T00:09:03,100
2022-03-27T00:09:13,100
2022-03-27T00:09:23,100
2022-03-27T00:09:33,100
2022-03-27T00:09:43,100
2022-03-27T00:09:53,100
2022-03-27T00:10:03,100
2022-03-27T00:10:13,100
2022-03-27T00:10:23,100
2022-03-27T00:10:33,100
2022-03-27T00:10:43,100
2022-03-27T00:10:53,100
2022-03-27T00:11:03,100
2022-03-27T00:11:13,100
2022-03-27T00:11:23,100
2022-03-27T00:11:33,100
2022-03-27T00:11:43,100
2022-03-27T00:11:53,100
2022-03-27T00:12:03,100
2022-03-27T00:12:13,100
2022-03-27T00:12:23,100
2022-03-27T00:12:33,100
2022-03-27T00:12:43,100
2022-03-27T00:12:53,100
2022-03-27T00:13:03,100
2022-03-27T00:13:13,100
2022-03-27T00:13:24,100
2022-03-27T00:13:34,100
2022-03-27T00:13:44,100
2022-03-27T00:13:54,100
2022-03-27T00:14:04,100
2022-03-27T00:14:14,100
2022-03-27T00:14:24,100
2022-03-27T00:14:34,100
2022-03-27T00:14:44,100
2022-03-27T00:14:54,100
2022-03-27T00:15:04,100
2022-03-27T00:15:14,100
2022-03-27T00:15:24,100
2022-03-27T00:15:34,100
2022-03-27T00:15:44,100
2022-03-27T00:15:54,100
2022-03-27T00:16:04,100
2022-03-27T00:16:14,100
2022-03-27T00:16:24,100
2022-03-27T00:16:34,100
2022-03-27T00:16:44,100
2022-03-27T00:16:54,100
2022-03-27T00:17:04,100
2022-03-27T00:17:14,100
2022-03-27T00:17:24,100
2022-03-27T00:17:34,100
2022-03-27T00:17:44,100
2022-03-27T00:17:54,100
2022-03-27T00:18:05,100
2022-03-27T00:18:15,100
2022-03-27T00:18:25,100
2022-03-27T00:18:35,100
2022-03-27T00:18:45,100
2022-03-27T00:18:55,100
2022-03-27T00:19:05,100
2022-03-27T00:19:15,100
2022-03-27T00:19:25,100
2022-03-27T00:19:35,100
2022-03-27T00:19:45,100
2022-03-27T00:19:55,100
2022-03-27T00:20:05,100
2022-03-27T00:20:15,100
2022-03-27T00:20:25,100
2022-03-27T00:20:35,100
2022-03-27T00:20:45,100
2022-03-27T00:20:55,100
2022-03-27T00:21:05,100
2022-03-27T00:21:15,100
2022-03-27T00:21:25,100
2022-03-27T00:21:35,100
2022-03-27T00:21:45,100
2022-03-27T00:21:55,100
2022-03-27T00:22:05,100
2022-03-27T00:22:15,100
2022-03-27T00:22:25,100
2022-03-27T00:22:36,100
2022-03-27T00:22:46,100
2022-03-27T00:22:56,100
2022-03-27T00:23:06,100
2022-03-27T00:23:16,100
2022-03-27T00:23:26,100
2022-03-27T00:23:36,100
2022-03-27T00:23:46,100
2022-03-27T00:23:56,100
2022-03-27T00:24:06,100
2022-03-27T00:24:16,100
2022-03-27T00:24:26,100
2022-03-27T00:24:36,100
2022-03-27T00:24:46,100
2022-03-27T00:24:56,100
2022-03-27T00:25:06,100
2022-03-27T00:25:16,100
2022-03-27T00:25:26,100
2022-03-27T00:25:36,100
2022-03-27T00:25:46,100
2022-03-27T00:25:56,100
2022-03-27T00:26:06,100
2022-03-27T00:26:16,100
2022-03-27T00:26:26,100
2022-03-27T00:26:36,100
2022-03-27T00:26:46,100
2022-03-27T00:26:56,100
2022-03-27T00:27:06,100
2022-03-27T00:27:17,100
2022-03-27T00:27:27,100
2022-03-27T00:27:37,100
2022-03-27T00:27:47,100
2022-03-27T00:27:57,100
2022-03-27T00:28:07,100
2022-03-27T00:28:17,100
2022-03-27T00:28:27,100
2022-03-27T00:28:37,100
2022-03-27T00:28:47,100
2022-03-27T00:28:57,100
2022-03-27T00:29:07,100
2022-03-27T00:29:17,100
2022-03-27T00:29:27,100
2022-03-27T00:29:37,100
2022-03-27T00:29:47,100
2022-03-27T00:29:57,100
2022-03-27T00:30:07,100
2022-03-27T00:30:17,100
2022-03-27T00:30:27,100
2022-03-27T00:30:37,100
2022-03-27T00:30:47,100
2022-03-27T00:30:57,100
2022-03-27T00:31:07,100
2022-03-27T00:31:17,100
2022-03-27T00:31:27,100
2022-03-27T00:31:37,100
2022-03-27T00:31:48,100
2022-03-27T00:31:58,100
2022-03-27T00:32:08,100
2022-03-27T00:32:18,100
2022-03-27T00:32:28,100
2022-03-27T00:32:38,100
2022-03-27T00:32:48,100
2022-03-27T00:32:58,100
2022-03-27T00:33:08,100
2022-03-27T00:33:18,100
2022-03-27T00:33:28,100
2022-03-27T00:33:38,100
2022-03-27T00:33:48,100
2022-03-27T00:33:58,100
2022-03-27T00:34:08,100
2022-03-27T00:34:18,100
2022-03-27T00:34:28,100
2022-03-27T00:34:38,100
2022-03-27T00:34:48,100
2022-03-27T00:34:58,100
2022-03-27T00:35:08,100
2022-03-27T00:35:18,100
2022-03-27T00:35:28,100
2022-03-27T00:35:38,100
2022-03-27T00:35:48,100
2022-03-27T00:35:58,100
2022-03-27T00:36:08,100
2022-03-27T00:36:18,100
2022-03-27T00:36:29,100
2022-03-27T00:36:39,100
2022-03-27T00:36:49,100
2022-03-27T00:36:59,100
2022-03-27T00:37:09,100
2022-03-27T00:37:19,100
2022-03-27T00:37:29,100
2022-03-27T00:37:39,100
2022-03-27T00:37:49,100
2022-03-27T00:37:59,100
2022-03-27T00:38:09,100
2022-03-27T00:38:19,100
2022-03-27T00:38:29,100
2022-03-27T00:38:39,100
2022-03-27T00:38:49,100
2022-03-27T00:38:59,100
2022-03-27T00:39:09,100
2022-03-27T00:39:19,100
2022-03-27T00:39:29,100
2022-03-27T00:39:39,100
2022-03-27T00:39:49,100
2022-03-27T00:39:59,100
2022-03-27T00:40:09,100
2022-03-27T00:40:19,100
2022-03-27T00:40:29,100
2022-03-27T00:40:39,100
2022-03-27T00:40:49,100
2022-03-27T00:40:59,100
2022-03-27T00:41:10,100
2022-03-27T00:41:20,100
2022-03-27T00:41:30,100
2022-03-27T00:41:40,100
2022-03-27T00:41:50,100
2022-03-27T00:42:00,100
2022-03-27T00:42:10,100
2022-03-27T00:42:20,100
2022-03-27T00:42:30,100
2022-03-27T00:42:40,100
2022-03-27T00:42:50,100
2022-03-27T00:43:00,100
2022-03-27T00:43:10,100
2022-03-27T00:43:20,100
2022-03-27T00:43:30,100
2022-03-27T00:43:40,99
2022-03-27T00:43:50,99
2022-03-27T00:44:00,99
2022-03-27T00:44:10,99
2022-03-27T00:44:20,99
2022-03-27T00:44:30,99
2022-03-27T00:44:40,99
2022-03-27T00:44:50,99
2022-03-27T00:45:00,99
2022-03-27T00:45:10,99
2022-03-27T00:45:20,99
2022-03-27T00:45:30,99
2022-03-27T00:45:41,99
2022-03-27T00:45:51,99
2022-03-27T00:46:01,99
2022-03-27T00:46:11,99
2022-03-27T00:46:21,99
2022-03-27T00:46:31,99
2022-03-27T00:46:41,99
2022-03-27T00:46:51,99
2022-03-27T00:47:01,99
2022-03-27T00:47:11,99
2022-03-27T00:47:21,99
2022-03-27T00:47:31,99
2022-03-27T00:47:41,99
2022-03-27T00:47:51,99
2022-03-27T00:48:01,99
2022-03-27T00:48:11,99
2022-03-27T00:48:21,99
2022-03-27T00:48:31,99
2022-03-27T00:48:41,99
2022-03-27T00:48:51,99
2022-03-27T00:49:01,99
2022-03-27T00:49:11,99
2022-03-27T00:49:21,99
2022-03-27T00:49:31,99
2022-03-27T00:49:41,99
2022-03-27T00:49:51,99
2022-03-27T00:50:01,99
2022-03-27T00:50:12,99
2022-03-27T00:50:22,99
2022-03-27T00:50:32,99
2022-03-27T00:50:42,99
2022-03-27T00:50:52,99
2022-03-27T00:51:02,99
2022-03-27T00:51:12,99
2022-03-27T00:51:22,99
2022-03-27T00:51:32,99
2022-03-27T00:51:42,99
2022-03-27T00:51:52,99
2022-03-27T00:52:02,99
2022-03-27T00:52:12,99
2022-03-27T00:52:22,99
2022-03-27T00:52:32,99
2022-03-27T00:52:42,99
2022-03-27T00:52:52,99
2022-03-27T00:53:02,99
2022-03-27T00:53:12,99
2022-03-27T00:53:22,99
2022-03-27T00:53:32,99
2022-03-27T00:53:42,99
2022-03-27T00:53:52,99
2022-03-27T00:54:02,99
2022-03-27T00:54:12,99
2022-03-27T00:54:22,99
2022-03-27T00:54:32,99
2022-03-27T00:54:42,99
2022-03-27T00:54:52,99
2022-03-27T00:55:03,99
2022-03-27T00:55:13,99
2022-03-27T00:55:23,99
2022-03-27T00:55:33,98
2022-03-27T00:55:43,98
2022-03-27T00:55:53,98
2022-03-27T00:56:03,98
2022-03-27T00:56:13,98
2022-03-27T00:56:23,98
2022-03-27T00:56:33,98
2022-03-27T00:56:43,98
2022-03-27T00:56:53,98
2022-03-27T00:57:03,98
2022-03-27T00:57:13,98
2022-03-27T00:57:23,98
2022-03-27T00:57:33,98
2022-03-27T00:57:43,98
2022-03-27T00:57:53,98
2022-03-27T00:58:03,98
2022-03-27T00:58:13,98
2022-03-27T00:58:23,98
2022-03-27T00:58:33,98
2022-03-27T00:58:43,98
2022-03-27T00:58:53,98
2022-03-27T00:59:03,98
2022-03-27T00:59:13,98
2022-03-27T00:59:23,98
2022-03-27T00:59:33,98
2022-03-27T00:59:44,98
2022-03-27T00:59:54,98
2022-03-27T01:00:04,98
2022-03-27T01:00:14,98
2022-03-27T01:00:24,98
2022-03-27T01:00:34,98
2022-03-27T01:00:44,98
2022-03-27T01:00:54,98
2022-03-27T01:01:04,98
2022-03-27T01:01:14,98
2022-03-27T01:01:24,98
2022-03-27T01:01:34,98
2022-03-27T01:01:44,98
2022-03-27T01:01:54,98
2022-03-27T01:02:04,98
2022-03-27T01:02:14,98
2022-03-27T01:02:24,98
2022-03-27T01:02:34,98
2022-03-27T01:02:44,98
2022-03-27T01:02:54,98
2022-03-27T01:03:04,98
2022-03-27T01:03:14,98
2022-03-27T01:03:24,98
2022-03-27T01:03:34,98
2022-03-27T01:03:44,98
2022-03-27T01:03:54,98
2022-03-27T01:04:04,98
2022-03-27T01:04:15,98
2022-03-27T01:04:25,98
2022-03-27T01:04:35,98
2022-03-27T01:04:45,98
2022-03-27T01:04:55,98
2022-03-27T01:05:05,98
2022-03-27T01:05:15,98
2022-03-27T01:05:25,98
2022-03-27T01:05:35,98
2022-03-27T01:05:45,98
2022-03-27T01:05:55,98
2022-03-27T01:06:05,98
2022-03-27T01:06:15,98
2022-03-27T01:06:25,98
2022-03-27T01:06:35,98
2022-03-27T01:06:45,98
2022-03-27T01:06:55,98
2022-03-27T01:07:05,98
2022-03-27T01:07:15,98
2022-03-27T01:07:25,98
2022-03-27T01:07:35,98
2022-03-27T01:07:45,98
2022-03-27T01:07:55,98
2022-03-27T01:08:05,98
2022-03-27T01:08:15,98
2022-03-27T01:08:25,98
2022-03-27T01:08:35,97
2022-03-27T01:08:45,97
2022-03-27T01:08:56,97
2022-03-27T01:09:06,97
2022-03-27T01:09:16,97
2022-03-27T01:09:26,97
2022-03-27T01:09:36,97
2022-03-27T01:09:46,97
2022-03-27T01:09:56,97
2022-03-27T01:10:06,97
2022-03-27T01:10:16,97
2022-03-27T01:10:26,97
2022-03-27T01:10:36,97
2022-03-27T01:10:46,97
2022-03-27T01:10:56,97
2022-03-27T01:11:06,97
2022-03-27T01:11:16,97
2022-03-27T01:11:26,97
2022-03-27T01:11:36,97
2022-03-27T01:11:46,97
